Country,Trans-Pacific Partnership,NATO Article 5,Iran Nuclear Deal,UN Relief and Works Agency,UNESCO,INF Treaty,G-7 Joint Statement,UN Human Rights Council,NAFTA,Paris Climate Agreement,Open Skies Treaty,WHO
Madagascar,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Malawi,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Malaysia,Signatory,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Maldives,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Mali,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Malta,#N/A,#N/A,Signatory,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Marshall Islands,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Mauritania,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Mauritius,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Mexico,Signatory,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,Ratifier,Ratifier,#N/A,Member
Moldova,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Monaco,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Mongolia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Montenegro,#N/A,Affirms,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Montserrat,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Morocco,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Mozambique,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Myanmar,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Namibia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Nauru,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Nepal,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Netherlands,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
New Caledonia,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
New Zealand,Signatory,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Nicaragua,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Niger,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Nigeria,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Niue,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
North Korea,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Norway,#N/A,Affirms,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Oman,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Pakistan,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Palau,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Palestine,#N/A,#N/A,#N/A,Observer,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,#N/A
Panama,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Papua New Guinea,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Paraguay,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Peru,Signatory,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Philippines,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Poland,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Portugal,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Qatar,#N/A,#N/A,#N/A,Member,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Republic of the Congo,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,#N/A
Romania,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Russia,#N/A,#N/A,Signatory,#N/A,#N/A,Ratifier,#N/A,#N/A,#N/A,Ratifier,#N/A,#N/A
Russian Federation,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,#N/A,Ratifier,Member
Rwanda,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Saint Kitts and Nevis,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Saint Lucia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Saint Vincent and the Grenadines,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Samoa,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
San Marino,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Sao Tome and Principe,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Saudi Arabia,#N/A,#N/A,#N/A,Member,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Senegal,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Serbia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Seychelles,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Sierra Leone,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Singapore,Signatory,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Sint Maarten,#N/A,#N/A,#N/A,#N/A,Associate Member,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovakia,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Slovenia,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Solomon Islands,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Somalia,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
South Africa,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
South Korea,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
South Sudan,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Signatory,#N/A,Member
Spain,#N/A,Affirms,Signatory,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Sri Lanka,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Sudan,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Suriname,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Sweden,#N/A,#N/A,Signatory,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,Ratifier,Member
